City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cockburn Town,TC,2022-01-27 03:03:33,21.4612,-71.1419,77.58,73,0,13.04
1,Cape Town,ZA,2022-01-27 03:02:14,-33.9258,18.4232,66.34,79,0,1.01
2,Salinas,US,2022-01-27 02:59:57,36.6777,-121.6555,57.97,75,0,1.25
3,Dingle,PH,2022-01-27 03:03:34,10.9995,122.6711,84.65,73,97,10.25
4,Meulaboh,ID,2022-01-27 03:02:55,4.1363,96.1285,82.49,69,33,1.74
5,Shingu,JP,2022-01-27 03:03:35,33.7333,135.9833,52.68,43,100,0.56
6,Tasiilaq,GL,2022-01-27 03:03:36,65.6145,-37.6368,19.56,81,100,5.79
7,Yinchuan,CN,2022-01-27 03:03:36,38.4681,106.2731,25.59,38,74,4.81
8,Chokurdakh,RU,2022-01-27 03:03:37,70.6333,147.9167,-27.2,95,36,12.88
9,Longyearbyen,SJ,2022-01-27 03:03:38,78.2186,15.6401,8.44,66,75,2.3
10,Port Lincoln,AU,2022-01-27 03:03:38,-34.7333,135.8667,77.27,64,6,6.49
11,Saint-Junien,FR,2022-01-27 03:03:39,45.8833,0.9,34.38,77,1,3.0
12,Khatanga,RU,2022-01-27 03:02:53,71.9667,102.5,2.21,86,100,14.18
13,Torbay,CA,2022-01-27 03:03:40,47.6666,-52.7314,29.75,95,100,3.0
14,Hilo,US,2022-01-27 03:02:40,19.7297,-155.09,75.25,83,0,1.99
15,Lukulu,ZM,2022-01-27 03:03:41,-14.3707,23.242,65.23,95,100,4.14
16,Butaritari,KI,2022-01-27 03:03:42,3.0707,172.7902,82.06,78,17,13.02
17,Piacabucu,BR,2022-01-27 03:03:42,-10.4056,-36.4344,77.67,83,19,7.81
18,Salalah,OM,2022-01-27 03:03:43,17.0151,54.0924,66.29,72,20,3.44
19,Atuona,PF,2022-01-27 03:03:43,-9.8,-139.0333,78.98,78,18,20.2
20,Lebu,CL,2022-01-27 03:03:44,-37.6167,-73.65,57.63,91,2,9.19
21,Tautira,PF,2022-01-27 03:03:44,-17.7333,-149.15,86.0,78,37,15.01
22,Jamestown,US,2022-01-27 03:01:49,42.097,-79.2353,8.71,85,0,6.91
23,Nikolskoye,RU,2022-01-27 03:03:45,59.7035,30.7861,24.87,93,100,10.6
24,Ushuaia,AR,2022-01-27 03:01:40,-54.8,-68.3,46.58,96,100,3.4
25,Elat,IL,2022-01-27 03:03:46,29.5581,34.9482,46.24,66,20,0.0
26,Busselton,AU,2022-01-27 03:03:47,-33.65,115.3333,77.09,37,0,7.45
27,Avarua,CK,2022-01-27 03:03:48,-21.2078,-159.775,82.45,83,40,12.66
28,Kasongo-Lunda,CD,2022-01-27 03:03:48,-6.4667,16.8167,67.21,97,100,0.67
29,Punta Arenas,CL,2022-01-27 03:03:49,-53.15,-70.9167,50.11,76,40,25.32
30,Kahului,US,2022-01-27 02:58:57,20.8947,-156.47,77.97,81,5,7.0
31,Naze,JP,2022-01-27 03:03:50,28.3667,129.4833,62.78,70,91,4.54
32,Ancud,CL,2022-01-27 03:03:50,-41.8697,-73.8203,56.73,76,0,2.3
33,Crotone,IT,2022-01-27 03:03:51,39.0851,17.1178,46.11,68,0,5.46
34,Port Alfred,ZA,2022-01-27 03:03:52,-33.5906,26.891,72.3,92,84,3.67
35,Hasaki,JP,2022-01-27 03:03:52,35.7333,140.8333,52.29,55,93,11.39
36,Carballo,ES,2022-01-27 03:03:53,43.213,-8.691,44.67,89,0,3.11
37,Bilibino,RU,2022-01-27 03:03:53,68.0546,166.4372,-29.99,95,40,3.02
38,Umm Kaddadah,SD,2022-01-27 03:03:54,13.6017,26.6876,54.5,27,66,21.61
39,Gigmoto,PH,2022-01-27 03:03:55,13.7796,124.39,82.2,78,100,9.82
40,Intipuca,SV,2022-01-27 03:03:55,13.1969,-88.0544,72.82,85,21,3.65
41,Ribeira Grande,PT,2022-01-27 03:03:56,38.5167,-28.7,59.7,79,25,12.75
42,Lavrentiya,RU,2022-01-27 03:03:56,65.5833,-171.0,-18.47,86,29,4.34
43,Albany,US,2022-01-27 03:00:10,42.6001,-73.9662,9.23,63,4,2.77
44,Bemidji,US,2022-01-27 02:59:47,47.4736,-94.8803,28.49,83,100,20.71
45,Rikitea,PF,2022-01-27 03:03:58,-23.1203,-134.9692,78.48,78,3,18.16
46,Berovo,MK,2022-01-27 03:03:50,41.7031,22.8578,19.44,95,62,4.14
47,Aleksandrov Gay,RU,2022-01-27 03:03:59,50.147,48.5704,9.59,100,97,3.76
48,Namatanai,PG,2022-01-27 03:03:59,-3.6667,152.4333,84.94,71,60,5.1
49,Tiksi,RU,2022-01-27 03:04:00,71.6872,128.8694,0.48,87,73,17.0
50,Ossora,RU,2022-01-27 03:05:01,59.2353,163.0719,17.62,94,100,18.75
51,Olafsvik,IS,2022-01-27 03:05:01,64.8945,-23.7142,34.05,59,100,5.57
52,Caravelas,BR,2022-01-27 03:01:47,-17.7125,-39.2481,74.41,93,56,3.96
53,Airai,TL,2022-01-27 03:00:23,-8.9266,125.4092,73.09,63,86,5.66
54,Tuatapere,NZ,2022-01-27 03:03:02,-46.1333,167.6833,56.82,49,18,8.93
55,Lerwick,GB,2022-01-27 03:05:04,60.1545,-1.1494,42.8,75,100,34.34
56,Collie,AU,2022-01-27 03:05:04,-33.3667,116.15,74.98,39,35,7.23
57,Arraial Do Cabo,BR,2022-01-27 03:05:05,-22.9661,-42.0278,75.42,86,7,24.4
58,Chuy,UY,2022-01-27 03:05:05,-33.6971,-53.4616,71.04,86,100,17.05
59,Victoria,HK,2022-01-27 03:03:52,22.2855,114.1577,70.32,89,52,11.88
60,Boo,SE,2022-01-27 03:05:07,59.3333,18.2833,35.98,89,100,8.05
61,Poum,NC,2022-01-27 03:05:08,-20.2333,164.0167,81.14,75,23,11.01
62,Mataura,NZ,2022-01-27 03:05:08,-46.1927,168.8643,56.48,38,38,7.29
63,Bengkulu,ID,2022-01-27 03:05:09,-3.8004,102.2655,81.19,76,100,1.14
64,Aklavik,CA,2022-01-27 03:05:10,68.2191,-135.0107,-9.04,98,100,3.67
65,Cherskiy,RU,2022-01-27 03:05:10,68.75,161.3,-42.74,98,38,3.78
66,Manama,BH,2022-01-27 03:05:11,26.2154,50.5832,66.18,65,0,4.61
67,Thompson,CA,2022-01-27 03:04:21,55.7435,-97.8558,-11.31,85,92,13.4
68,Hermanus,ZA,2022-01-27 03:05:11,-34.4187,19.2345,65.89,86,18,9.06
69,Souillac,MU,2022-01-27 03:01:04,-20.5167,57.5167,76.35,88,40,4.61
70,Georgetown,MY,2022-01-27 03:01:56,5.4112,100.3354,85.93,78,20,0.0
71,Hualmay,PE,2022-01-27 03:05:13,-11.0964,-77.6139,71.42,82,97,9.01
72,Toamasina,MG,2022-01-27 03:05:14,-18.1667,49.3833,73.18,84,75,6.4
73,Wanning,CN,2022-01-27 03:05:14,18.8003,110.3967,75.47,80,50,8.3
74,Dikson,RU,2022-01-27 03:05:15,73.5069,80.5464,11.82,92,100,27.65
75,Bandarbeyla,SO,2022-01-27 03:05:16,9.4942,50.8122,70.92,73,89,13.4
76,Neuwied,DE,2022-01-27 03:05:17,50.4333,7.4667,37.85,91,97,4.92
77,Japura,ID,2022-01-27 03:05:18,-0.3167,102.35,82.8,70,100,2.13
78,Mar Del Plata,AR,2022-01-27 03:05:18,-38.0023,-57.5575,64.09,71,0,1.99
79,Rawson,AR,2022-01-27 03:01:38,-43.3002,-65.1023,61.14,59,0,10.58
80,Severo-Kurilsk,RU,2022-01-27 03:05:19,50.6789,156.125,26.19,66,88,27.87
81,Boke,GN,2022-01-27 03:05:20,10.9409,-14.2967,67.91,79,90,0.72
82,Margate,GB,2022-01-27 03:03:55,51.3813,1.3862,44.46,83,97,4.0
83,Carlagan,PH,2022-01-27 03:05:21,14.975,122.0456,79.59,84,45,8.97
84,Coquimbo,CL,2022-01-27 03:05:21,-29.9533,-71.3436,60.53,82,0,3.44
85,Hami,CN,2022-01-27 03:05:22,42.8,93.45,24.4,40,9,2.64
86,Tucuman,AR,2022-01-27 03:05:23,-26.8241,-65.2226,69.8,94,100,4.61
87,Albion,US,2022-01-27 03:05:23,42.2431,-84.753,7.02,70,0,5.75
88,La Palma,US,2022-01-27 03:05:24,33.8464,-118.0467,64.9,64,0,1.01
89,Tomatlan,MX,2022-01-27 03:05:24,19.9333,-105.25,67.55,82,95,1.7
90,Alta Floresta,BR,2022-01-27 03:05:25,-9.8756,-56.0861,70.83,98,100,3.29
91,Brae,GB,2022-01-27 03:05:26,60.3964,-1.353,42.71,73,100,32.55
92,Moose Factory,CA,2022-01-27 03:05:27,51.2585,-80.6094,12.18,73,100,23.02
93,New Norfolk,AU,2022-01-27 03:05:28,-42.7826,147.0587,73.71,54,82,1.99
94,Touros,BR,2022-01-27 03:04:28,-5.1989,-35.4608,77.9,77,100,10.76
95,Maceio,BR,2022-01-27 03:06:30,-9.6658,-35.7353,78.24,88,40,3.44
96,Severobaykalsk,RU,2022-01-27 03:06:31,55.65,109.3167,-3.87,89,66,1.48
97,Djibo,BF,2022-01-27 03:06:31,14.1022,-1.6306,65.55,13,50,10.96
98,Saskylakh,RU,2022-01-27 03:06:32,71.9167,114.0833,-14.3,95,49,4.72
99,Berlevag,NO,2022-01-27 03:06:33,70.8578,29.0864,24.39,79,100,13.29
100,Birao,CF,2022-01-27 03:06:33,10.2849,22.7882,68.0,19,100,12.1
101,Chapais,CA,2022-01-27 03:06:34,49.7834,-74.8492,-6.43,85,52,13.22
102,Quebo,GW,2022-01-27 03:06:35,11.3333,-14.9333,68.18,67,98,2.19
103,Bolivar,US,2022-01-27 03:03:24,37.6145,-93.4105,31.59,39,97,8.63
104,Xuanzhou,CN,2022-01-27 03:06:36,30.9525,118.7553,40.1,95,100,9.13
105,Puerto Ayora,EC,2022-01-27 03:03:26,-0.7393,-90.3518,73.22,91,97,6.2
106,Bluff,NZ,2022-01-27 03:06:38,-46.6,168.3333,56.8,60,62,12.08
107,Sorland,NO,2022-01-27 03:06:38,67.667,12.6934,38.26,74,82,7.14
108,Ponta Pora,BR,2022-01-27 03:06:39,-22.5361,-55.7256,70.36,89,100,3.98
109,Hovd,MN,2022-01-27 03:06:40,48.0056,91.6419,-8.61,81,97,0.72
110,Yellowknife,CA,2022-01-27 03:06:40,62.456,-114.3525,4.41,92,100,4.0
111,Douentza,ML,2022-01-27 03:06:41,14.9951,-2.9517,64.24,14,64,4.23
112,Vanavara,RU,2022-01-27 03:06:42,60.34,102.2797,-13.79,98,68,0.92
113,Kirakira,SB,2022-01-27 03:06:43,-10.4544,161.9205,79.34,86,100,9.44
114,Lisala,CD,2022-01-27 03:06:44,2.15,21.5167,68.47,49,100,1.68
115,Cap Malheureux,MU,2022-01-27 03:06:44,-19.9842,57.6142,76.46,68,21,3.0
116,Tilichiki,RU,2022-01-27 03:06:45,60.4667,166.1,22.84,92,100,12.19
117,Marrakesh,MA,2022-01-27 03:06:46,31.6315,-8.0083,50.07,81,40,5.75
118,Esso,RU,2022-01-27 03:06:47,55.9333,158.7,12.45,74,100,3.62
119,Kibre Mengist,ET,2022-01-27 03:06:47,5.8833,38.9833,49.5,45,2,3.09
120,Constitucion,CL,2022-01-27 03:06:48,-35.3333,-72.4167,57.25,94,8,4.5
121,Kiama,AU,2022-01-27 03:05:50,-34.6833,150.8667,82.99,63,9,11.99
122,Alekseyevsk,RU,2022-01-27 03:06:49,57.8406,108.3492,-0.99,96,96,1.45
123,Nishihara,JP,2022-01-27 03:06:50,26.1842,127.7558,73.06,64,75,11.5
124,Calama,CL,2022-01-27 03:06:51,-22.4667,-68.9333,57.69,30,24,5.75
125,Mogadishu,SO,2022-01-27 03:06:51,2.0371,45.3438,74.26,81,10,14.25
126,Ilulissat,GL,2022-01-27 03:06:52,69.2167,-51.1,12.22,57,100,23.02
127,Mahajanga,MG,2022-01-27 03:06:52,-15.7167,46.3167,73.42,94,20,3.44
128,Castro,BR,2022-01-27 03:06:53,-24.7911,-50.0119,66.96,89,99,2.59
129,Makakilo City,US,2022-01-27 03:06:54,21.3469,-158.0858,77.32,56,0,9.22
130,Batagay-Alyta,RU,2022-01-27 03:06:55,67.8006,130.4114,-13.77,88,86,5.88
131,Husavik,IS,2022-01-27 03:06:55,66.0449,-17.3389,22.96,75,100,5.61
132,Ponta Do Sol,PT,2022-01-27 03:05:22,32.6667,-17.1,59.0,77,55,5.66
133,Roald,NO,2022-01-27 03:06:56,62.5833,6.1333,40.91,93,100,21.85
134,Acapulco,MX,2022-01-27 03:06:57,16.8634,-99.8901,78.62,83,20,3.44
135,Ahipara,NZ,2022-01-27 03:06:58,-35.1667,173.1667,71.85,54,1,16.11
136,Kavaratti,IN,2022-01-27 03:06:59,10.5669,72.642,77.47,65,89,9.84
137,Kodiak,US,2022-01-27 03:07:59,57.79,-152.4072,35.11,87,100,13.8
138,Provideniya,RU,2022-01-27 03:05:16,64.3833,-173.3,-2.09,71,75,6.71
139,Vaini,TO,2022-01-27 03:08:00,-21.2,-175.2,86.16,84,20,9.22
140,Dzhebariki-Khaya,RU,2022-01-27 03:08:01,62.2167,135.8,-29.72,96,53,1.07
141,Hithadhoo,MV,2022-01-27 03:05:50,-0.6,73.0833,81.9,74,88,20.78
142,Galiakot,IN,2022-01-27 03:08:02,23.5167,74.0,54.34,51,0,6.35
143,Qaanaaq,GL,2022-01-27 03:05:50,77.484,-69.3632,-8.7,60,71,9.01
144,Forio,IT,2022-01-27 03:08:03,40.7342,13.8646,48.81,65,76,4.99
145,Zeya,RU,2022-01-27 03:08:04,53.75,127.2667,2.32,63,59,2.42
146,Goderich,CA,2022-01-27 03:08:05,43.7501,-81.7165,13.91,80,95,19.04
147,Bijie,CN,2022-01-27 03:08:05,27.3125,105.2942,37.58,93,100,4.34
148,Negombo,LK,2022-01-27 03:08:06,7.2083,79.8358,73.45,100,92,2.3
149,Muros,ES,2022-01-27 03:04:28,42.7762,-9.0603,45.1,86,0,7.45
150,Hobart,AU,2022-01-27 03:08:07,-42.8794,147.3294,74.05,64,75,4.0
151,Vao,NC,2022-01-27 03:08:08,-22.6667,167.4833,78.4,83,80,17.49
152,Kapaa,US,2022-01-27 03:08:09,22.0752,-159.319,78.12,73,20,1.01
153,Haicheng,CN,2022-01-27 03:08:09,40.8516,122.7475,20.26,39,0,9.31
154,Tocopilla,CL,2022-01-27 03:08:10,-22.092,-70.1979,67.98,71,19,1.79
155,Codrington,AU,2022-01-27 03:08:11,-38.2667,141.9667,80.71,64,49,12.77
156,Cidreira,BR,2022-01-27 03:08:11,-30.1811,-50.2056,74.25,95,100,7.76
157,Celestun,MX,2022-01-27 03:08:13,20.8667,-90.4,73.13,83,9,13.15
158,Gonda,IN,2022-01-27 03:08:14,27.1333,81.9333,52.11,70,0,7.18
159,Yulara,AU,2022-01-27 03:08:14,-25.2406,130.9889,97.66,27,35,3.74
160,Jalu,LY,2022-01-27 03:08:15,29.0331,21.5482,49.51,65,75,6.33
161,Pisco,PE,2022-01-27 03:08:16,-13.7,-76.2167,69.85,73,0,14.97
162,Chhaprauli,IN,2022-01-27 03:08:16,29.2167,77.1833,47.7,73,0,5.21
163,Veraval,IN,2022-01-27 03:04:21,20.9,70.3667,61.99,44,1,14.2
164,Kigorobya,UG,2022-01-27 03:08:18,1.6162,31.3089,70.27,38,82,2.64
165,Okakarara,NA,2022-01-27 03:08:18,-20.5833,17.4333,70.79,54,91,5.37
166,Ulaangom,MN,2022-01-27 03:08:19,49.9811,92.0667,-13.85,96,100,1.41
167,Ustrzyki Dolne,PL,2022-01-27 03:08:20,49.4304,22.5938,29.98,100,100,8.63
168,Ballina,AU,2022-01-27 03:08:20,-28.8667,153.5667,79.95,71,14,10.54
169,Bundaberg,AU,2022-01-27 03:08:21,-24.85,152.35,83.21,68,100,3.0
170,Sur,OM,2022-01-27 03:05:53,22.5667,59.5289,66.29,52,1,4.03
171,Fairbanks,US,2022-01-27 03:06:59,64.8378,-147.7164,-6.99,77,0,0.0
172,Rapid Valley,US,2022-01-27 03:05:42,44.0625,-103.1463,37.38,53,0,1.99
173,Valleyview,CA,2022-01-27 03:04:29,55.0667,-117.2859,19.24,94,24,2.95
174,Vostok,RU,2022-01-27 03:08:23,46.4856,135.8833,7.63,84,100,4.54
175,Rakoshyno,UA,2022-01-27 03:08:24,48.4671,22.5969,26.55,97,100,3.24
176,Kimbe,PG,2022-01-27 03:08:24,-5.5502,150.1429,89.35,61,90,7.11
177,Yunyang,CN,2022-01-27 03:08:25,33.4474,112.7142,36.39,62,100,9.33
178,Shimoda,JP,2022-01-27 03:08:26,34.6667,138.95,51.1,69,100,6.53
179,Tonantins,BR,2022-01-27 03:08:26,-2.8731,-67.8022,73.04,98,93,1.72
180,Ketchikan,US,2022-01-27 03:08:27,55.3422,-131.6461,35.58,100,20,3.44
181,Novosergiyevka,RU,2022-01-27 03:08:27,52.0934,53.6528,1.02,100,86,4.81
182,Narsaq,GL,2022-01-27 03:08:28,60.9167,-46.05,23.22,66,99,17.47
183,Amapa,BR,2022-01-27 03:09:29,1.0,-52.0,70.3,99,69,1.54
184,Cabo San Lucas,MX,2022-01-27 03:09:29,22.8909,-109.9124,71.15,66,0,3.44
185,Tuktoyaktuk,CA,2022-01-27 03:05:05,69.4541,-133.0374,-9.69,95,95,16.69
186,Chebsara,RU,2022-01-27 03:09:30,59.2002,38.8356,15.13,100,100,4.41
187,Stromness,GB,2022-01-27 03:09:31,58.965,-3.296,43.05,71,88,35.99
188,Palmeirais,BR,2022-01-27 03:09:32,-5.9778,-43.0633,73.15,94,100,2.01
189,Havoysund,NO,2022-01-27 03:09:32,70.9963,24.6622,27.48,75,100,6.08
190,Vaitape,PF,2022-01-27 03:09:33,-16.5167,-151.75,81.0,77,23,17.76
191,Pierre,US,2022-01-27 03:09:33,44.3683,-100.351,40.12,57,100,1.99
192,Thunder Bay,CA,2022-01-27 03:09:34,48.4001,-89.3168,20.55,75,100,17.27
